INFO:root:Namespace(a_dim=16, batch_size=128, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=200, learning_rate=0.001, lstm_layers=1, model='Enc_Dec', save_every=10, scale=0.3, scheduler_step=100, subdirectory='v4', wandb_on='True')
INFO:root:Starting Encoder-Decoder training for 200 epochs.
INFO:root:Reconstruction Loss, MSE
INFO:root:2624.55806764, 867.09587506, 0.00085
INFO:root:2620.72572692, 865.68864763, 0.00085
INFO:root:2627.95828634, 868.18269370, 0.00085
INFO:root:2621.03529723, 865.62689295, 0.00085
INFO:root:2619.76457279, 865.37495874, 0.00085
INFO:root:2618.28105744, 864.87828472, 0.00085
INFO:root:2622.31766478, 866.22819068, 0.00085
INFO:root:2615.35154187, 863.84340270, 0.00085
INFO:root:2615.17024166, 863.71252527, 0.00085
INFO:root:2620.65612965, 865.63086023, 0.00085
INFO:root:2622.81130681, 866.31145467, 0.00085
INFO:root:2617.25098688, 864.38963984, 0.00085
INFO:root:2615.47487071, 863.72982315, 0.00085
INFO:root:2615.28034565, 863.64542529, 0.00085
INFO:root:2616.86347381, 864.22769638, 0.00085
INFO:root:2611.84760811, 862.47224792, 0.00085
INFO:root:2610.48588798, 862.05741689, 0.00085
INFO:root:2610.09476783, 861.83906405, 0.00085
INFO:root:2609.89902550, 861.76634969, 0.00085
INFO:root:2609.40955106, 861.64267698, 0.00085
INFO:root:2611.00148891, 862.22783220, 0.00085
INFO:root:2609.74235943, 861.70962739, 0.00085
INFO:root:2610.70674241, 862.04800372, 0.00085
INFO:root:2607.56249312, 860.97501427, 0.00085
INFO:root:2614.33934859, 863.41867366, 0.00085
INFO:root:2612.49449480, 862.68205927, 0.00085
INFO:root:2608.29659991, 861.20933339, 0.00085
INFO:root:2613.15387049, 862.85858240, 0.00085
INFO:root:2607.21361273, 860.73640893, 0.00085
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/MovingMNIST/enc_dec/v4/scheduler_step=100/enc_dec_state_dict_199.pth
